Year,Coal_Generation_TWh,Natural_Gas_Generation_TWh,Solar_Generation_TWh,Wind_Generation_TWh,Coal_CF,Natural_Gas_CF,Wind_CF,Solar_CF,Wind_LCOE,Solar_LCOE
2015,1.352398,1.334668,0.024893,0.190719,0.5429999999999999,0.3435831601968787,0.322,0.24925100500049027,0.0624264174608981,0.1604757725063791
2016,1.239149,1.379271,0.036054,0.226993,0.528,0.3475247670439861,0.345,0.24679765441947824,0.0573559531676672,0.1433735247706469
2017,1.205835,1.297703,0.053287,0.254303,0.531,0.3216008221749186,0.34600000000000003,0.2531812834405118,0.0502575192788246,0.1054270888549547
2018,1.149487,1.471843,0.063825,0.272667,0.536,0.35825186691558164,0.34600000000000003,0.2500876330394586,0.0461693107870973,0.0817079873335597
2019,0.964957,1.588533,0.071937,0.295882,0.475,0.37788656072386684,0.344,0.24137789034760063,0.0415844060626994,0.0685329314066385
2020,0.773393,1.62679,0.089199,0.337938,0.405,0.3783048242736709,0.353,0.24047293112653495,0.0370402675544033,0.0668054250734533
2021,0.897999,1.57919,0.115258,0.378197,0.491,0.36579385130862346,0.344,0.24279787014628554,0.0320691577723639,0.0623624300619488
2022,0.831512,1.687065,0.143792,0.434297,0.484,0.3842947108108855,0.359,0.24370840090329032,0.0295444357558107,0.0601414718373785
2023,0.675115,1.806063,0.16553,0.421141,0.424,0.4067143404979406,0.332,0.23179290377403616,0.0390343193565726,0.058626876225356
2024,0.652156,1.869902,0.219834,0.451904,0.426,0.4177567687431161,0.34299999999999997,0.23224159326593483,0.0387071945774645,0.0695248337607442
